ICD-10 code	ICD-10 code description	ICD-10 group	Ideation or action	Past or present 
R45.851	Suicidal ideations	ideation	ideation	present
T14.91	Suicide attempt	attempt	action	present
T14.91XA	Suicide attempt, initial encounter	attempt	action	present
T14.91XD	Suicide attempt, subsequent encounter	attempt	action	past
T14.91XD	Suicide attempt, subsequent encounter	attempt	action	present
T14.91XS	Suicide attempt, sequela	attempt	action	past
T14.91XS	Suicide attempt, sequela	attempt	action	present
R45.88	Nonsuicidal self-harm	self_harm	action	present
T36.0X2	Poisoning by penicillins, intentional self-harm	self_harm	action	present
T36.0X2A	Poisoning by penicillins, intentional self-harm, initial encounter	self_harm	action	present
T36.0X2D	Poisoning by penicillins, intentional self-harm, subsequent encounter	self_harm	action	past
T36.0X2D	Poisoning by penicillins, intentional self-harm, subsequent encounter	self_harm	action	present
T36.0X2S	Poisoning by penicillins, intentional self-harm, sequela	self_harm	action	past
T36.0X2S	Poisoning by penicillins, intentional self-harm, sequela	self_harm	action	present
T36.1X2	Poisoning by cephalospor/other beta-lactm antibiot, self-harm	self_harm	action	present
T36.1X2A	Poisoning by cephalospor/other beta-lactm antibiot, Self-harm, initial	self_harm	action	present
T36.1X2D	Poisoning by cephalospor/other beta-lactm antibiot, Self-harm, subsequent	self_harm	action	past
T36.1X2D	Poisoning by cephalospor/other beta-lactm antibiot, Self-harm, subsequent	self_harm	action	present
T36.1X2S	Poisoning by cephalospor/other beta-lactm antibiot, Self-harm, sequela	self_harm	action	past
T36.1X2S	Poisoning by cephalospor/other beta-lactm antibiot, Self-harm, sequela	self_harm	action	present
T36.2X2	Poisoning by chloramphenicol group, intentional self-harm	self_harm	action	present
T36.2X2A	Poisoning by chloramphenicol group, self-harm, initial	self_harm	action	present
T36.2X2D	Poisoning by chloramphenicol group, self-harm, subsequent	self_harm	action	past
T36.2X2D	Poisoning by chloramphenicol group, self-harm, subsequent	self_harm	action	present
T36.2X2S	Poisoning by chloramphenicol group, self-harm, sequela	self_harm	action	past
T36.2X2S	Poisoning by chloramphenicol group, self-harm, sequela	self_harm	action	present
T36.3X2	Poisoning by macrolides, intentional self-harm	self_harm	action	present
T36.3X2A	Poisoning by macrolides, intentional self-harm, initial encounter	self_harm	action	present
T36.3X2D	Poisoning by macrolides, intentional self-harm, subsequent encounter	self_harm	action	past
T36.3X2D	Poisoning by macrolides, intentional self-harm, subsequent encounter	self_harm	action	present
T36.3X2S	Poisoning by macrolides, intentional self-harm, sequela	self_harm	action	past
T36.3X2S	Poisoning by macrolides, intentional self-harm, sequela	self_harm	action	present
T36.4X2	Poisoning by tetracyclines, intentional self-harm	self_harm	action	present
T36.4X2A	Poisoning by tetracyclines, intentional self-harm, initial	self_harm	action	present
T36.4X2D	Poisoning by tetracyclines, intentional self-harm, subsequent	self_harm	action	past
T36.4X2D	Poisoning by tetracyclines, intentional self-harm, subsequent	self_harm	action	present
T36.4X2S	Poisoning by tetracyclines, intentional self-harm, sequela	self_harm	action	past
T36.4X2S	Poisoning by tetracyclines, intentional self-harm, sequela	self_harm	action	present
T36.5X2	Poisoning by aminoglycosides, intentional self-harm	self_harm	action	present
T36.5X2A	Poisoning by aminoglycosides, intentional self-harm, initial	self_harm	action	present
T36.5X2D	Poisoning by aminoglycosides, intentional self-harm, subsequent	self_harm	action	past
T36.5X2D	Poisoning by aminoglycosides, intentional self-harm, subsequent	self_harm	action	present
T36.5X2S	Poisoning by aminoglycosides, intentional self-harm, sequela	self_harm	action	past
T36.5X2S	Poisoning by aminoglycosides, intentional self-harm, sequela	self_harm	action	present
T36.6X2	Poisoning by rifampicins, intentional self-harm	self_harm	action	present
T36.6X2A	Poisoning by rifampicins, intentional self-harm, initial encounter	self_harm	action	present
T36.6X2D	Poisoning by rifampicins, intentional self-harm, subsequent encounter	self_harm	action	past
T36.6X2D	Poisoning by rifampicins, intentional self-harm, subsequent encounter	self_harm	action	present
T36.6X2S	Poisoning by rifampicins, intentional self-harm, sequela	self_harm	action	past
T36.6X2S	Poisoning by rifampicins, intentional self-harm, sequela	self_harm	action	present
T36.7X2	Poisoning by antifungal antibiotics, sys used, self-harm	self_harm	action	present
T36.7X2A	Poisoning by antifungal antibiot, sys used, self-harm, initial	self_harm	action	present
T36.7X2D	Poisoning by antifungal antibiot, sys used, self-harm, subsequent	self_harm	action	past
T36.7X2D	Poisoning by antifungal antibiot, sys used, self-harm, subsequent	self_harm	action	present
T36.7X2S	Poisoning by antifung antibiot, sys used, self-harm, sequela	self_harm	action	past
T36.7X2S	Poisoning by antifung antibiot, sys used, self-harm, sequela	self_harm	action	present
T36.8X2	Poisoning by other systemic antibiotics, intentional self-harm	self_harm	action	present
T36.8X2A	Poisoning by other systemic antibiotics, self-harm, initial	self_harm	action	present
T36.8X2D	Poisoning by other systemic antibiotics, self-harm, subsequent	self_harm	action	past
T36.8X2D	Poisoning by other systemic antibiotics, self-harm, subsequent	self_harm	action	present
T36.8X2S	Poisoning by other systemic antibiotics, self-harm, sequela	self_harm	action	past
T36.8X2S	Poisoning by other systemic antibiotics, self-harm, sequela	self_harm	action	present
T37.0X2	Poisoning by sulfonamides, intentional self-harm	self_harm	action	present
T37.0X2A	Poisoning by sulfonamides, intentional self-harm, initial	self_harm	action	present
T37.0X2D	Poisoning by sulfonamides, intentional self-harm, subsequent	self_harm	action	past
T37.0X2D	Poisoning by sulfonamides, intentional self-harm, subsequent	self_harm	action	present
T37.0X2S	Poisoning by sulfonamides, intentional self-harm, sequela	self_harm	action	past
T37.0X2S	Poisoning by sulfonamides, intentional self-harm, sequela	self_harm	action	present
T37.1X2	Poisoning by antimycobacterial drugs, intentional self-harm	self_harm	action	present
T37.1X2A	Poisoning by antimycobacterial drugs, self-harm, initial	self_harm	action	present
T37.1X2D	Poisoning by antimycobacterial drugs, self-harm, subsequent	self_harm	action	past
T37.1X2D	Poisoning by antimycobacterial drugs, self-harm, subsequent	self_harm	action	present
T37.1X2S	Poisoning by antimycobacterial drugs, self-harm, sequela	self_harm	action	past
T37.1X2S	Poisoning by antimycobacterial drugs, self-harm, sequela	self_harm	action	present
T37.2X2	Poisoning by antimalari/drugs acting on bld protzoa, self-harm	self_harm	action	present
T37.2X2A	Poisoning by antimalari/drugs act on bld protzoa, Self-harm, initial	self_harm	action	present
T37.2X2D	Poisoning by antimalari/drugs act on bld protzoa, Self-harm, subsequent	self_harm	action	past
T37.2X2D	Poisoning by antimalari/drugs act on bld protzoa, Self-harm, subsequent	self_harm	action	present
T37.2X2S	Poisoning by antimalari/drugs act on bld protzoa, Self-harm, sequela	self_harm	action	past
T37.2X2S	Poisoning by antimalari/drugs act on bld protzoa, Self-harm, sequela	self_harm	action	present
T37.3X2	Poisoning by other antiprotozoal drugs, intentional self-harm	self_harm	action	present
T37.3X2A	Poisoning by other antiprotozoal drugs, self-harm, initial	self_harm	action	present
T37.3X2D	Poisoning by other antiprotozoal drugs, self-harm, subsequent	self_harm	action	past
T37.3X2D	Poisoning by other antiprotozoal drugs, self-harm, subsequent	self_harm	action	present
T37.3X2S	Poisoning by other antiprotozoal drugs, self-harm, sequela	self_harm	action	past
T37.3X2S	Poisoning by other antiprotozoal drugs, self-harm, sequela	self_harm	action	present
T37.4X2	Poisoning by anthelminthics, intentional self-harm	self_harm	action	present
T37.4X2A	Poisoning by anthelminthics, intentional self-harm, initial	self_harm	action	present
T37.4X2D	Poisoning by anthelminthics, intentional self-harm, subsequent	self_harm	action	past
T37.4X2D	Poisoning by anthelminthics, intentional self-harm, subsequent	self_harm	action	present
T37.4X2S	Poisoning by anthelminthics, intentional self-harm, sequela	self_harm	action	past
T37.4X2S	Poisoning by anthelminthics, intentional self-harm, sequela	self_harm	action	present
T37.5X2	Poisoning by antiviral drugs, intentional self-harm	self_harm	action	present
T37.5X2A	Poisoning by antiviral drugs, intentional self-harm, initial	self_harm	action	present
T37.5X2D	Poisoning by antiviral drugs, intentional self-harm, subsequent	self_harm	action	past
T37.5X2D	Poisoning by antiviral drugs, intentional self-harm, subsequent	self_harm	action	present
T37.5X2S	Poisoning by antiviral drugs, intentional self-harm, sequela	self_harm	action	past
T37.5X2S	Poisoning by antiviral drugs, intentional self-harm, sequela	self_harm	action	present
T37.8X2	Poisoning by other systemic anti-infect/parasit, self-harm	self_harm	action	present
T37.8X2A	Poisoning by other systemic anti-infect/parasit, self-harm, initial	self_harm	action	present
T37.8X2D	Poisoning by other systemic anti-infect/parasit, self-harm, subsequent	self_harm	action	past
T37.8X2D	Poisoning by other systemic anti-infect/parasit, self-harm, subsequent	self_harm	action	present
T37.8X2S	Poisoning by other systemic anti-infect/parasit, Self-harm, sequela	self_harm	action	past
T37.8X2S	Poisoning by other systemic anti-infect/parasit, Self-harm, sequela	self_harm	action	present
